date,instrument,primary_signal,hmm_predicted_regime,hmm_volatility_regime,hmm_return_regime,hmm_market_state,hmm_regime_confidence,daily_return,realized_vol_20d
2021-01-06,ng1s,0,1.0,high_vol,downside,stress,0.9986365512684736,0.005178827591237445,0.033778700823867656
2021-01-06,nq1s,1,1.0,high_vol,weak,stress,0.9064103121792338,-0.013815609489337577,0.008589273294226438
2021-01-06,pl1s,0,0.0,extreme_vol,positive,upside_breakout,0.9998992272805688,-0.008395855665997876,0.016020364032344813
2021-01-06,rb1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.9678358668177144,0.015770263461265976,0.020183309923706372
2021-01-06,si1s,0,0.0,extreme_vol,downside,stress,0.999995816966129,-0.02163531118723716,0.020180435654032738
2021-01-07,cl1s,1,2.0,low_vol,weak,calm_negative,0.9991721878221644,0.003950227304091669,0.017227839495641006
2021-01-07,es1s,1,1.0,high_vol,weak,stress,0.964240571210061,0.014703916590078636,0.007083663947227046
2021-01-07,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.5759557938379224,0.0024958402671841906,0.010376072379189194
2021-01-07,gc1s,0,3.0,high_vol,strong_upside,upside_breakout,0.9877874213846802,0.002619721261307939,0.010951228164979393
2021-01-07,hg1s,-1,0.0,low_vol,positive,calm_positive,0.8915972352729442,0.012464047018962532,0.010637639219598236
2021-01-07,ho1s,0,1.0,low_vol,weak,calm_negative,0.9994343260814932,0.006149017293249237,0.014622644845788764
2021-01-07,ng1s,0,1.0,high_vol,downside,stress,0.998564237031096,0.00478931836872909,0.033701260733578174
2021-01-07,nq1s,1,1.0,high_vol,weak,stress,0.9887253272502068,0.024669586065814153,0.010189337949401932
2021-01-07,pl1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.7268709649486892,0.012970635917876283,0.01579892014603677
2021-01-07,rb1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.7168968787011561,0.0052203389437617265,0.020104100882945328
2021-01-07,si1s,0,1.0,low_vol,positive,calm_positive,0.91934152735822,0.00809851405262485,0.02012802347749741
2021-01-08,cl1s,1,3.0,high_vol,strong_upside,upside_breakout,0.8389929525660402,0.027739523422752432,0.017835303493722556
2021-01-08,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.6931611942492337,0.005796337768341431,0.006792184039558833
2021-01-08,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9743725553955224,0.001936376209918711,0.010345826069299551
2021-01-08,gc1s,0,0.0,extreme_vol,downside,stress,1.0,-0.04086538460787659,0.01375539047837782
2021-01-08,hg1s,-1,2.0,normal_vol,weak,calm_negative,0.9806785296004502,-0.006087663172049673,0.010813972748142305
2021-01-08,ho1s,0,3.0,high_vol,strong_upside,upside_breakout,0.937403514599574,0.026916321584779412,0.01523451318670259
2021-01-08,ng1s,0,1.0,high_vol,downside,stress,0.998522713260965,-0.010628310062590351,0.03384426586085819
2021-01-08,nq1s,1,1.0,high_vol,weak,stress,0.6912473778298617,0.013091738861529922,0.009020980714945585
2021-01-08,pl1s,1,0.0,extreme_vol,positive,upside_breakout,1.0,-0.0473946291995494,0.01899750674403443
2021-01-08,rb1s,-1,1.0,extreme_vol,weak,stress,0.9886187610946712,0.04019693862402929,0.02126388695677893
2021-01-08,si1s,-1,0.0,extreme_vol,downside,stress,1.0,-0.0962547238051008,0.029472517126783466
2021-01-11,cl1s,1,2.0,low_vol,weak,calm_negative,0.9929926974871068,0.00019142460348886559,0.017194835235568702
2021-01-11,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.968874955136856,-0.0066797642426443815,0.007038710703951544
2021-01-11,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9811141837250013,-0.003865267809115447,0.010413078903025159
2021-01-11,gc1s,0,3.0,high_vol,strong_upside,upside_breakout,0.7556093967415897,0.00839054156313912,0.013880868763919784
2021-01-11,hg1s,1,2.0,normal_vol,weak,calm_negative,0.9638450163951042,-0.029671974840757565,0.012333345664196322
2021-01-11,ho1s,0,1.0,low_vol,weak,calm_negative,0.9932251460021836,-0.0037986641477557592,0.014612802072471079
2021-01-11,ng1s,0,1.0,high_vol,downside,stress,0.922887537103113,0.017409394503449027,0.032691359149453765
2021-01-11,nq1s,1,1.0,high_vol,weak,stress,0.9827178772119268,-0.015289469163601077,0.009894576022459517
2021-01-11,pl1s,1,0.0,extreme_vol,positive,upside_breakout,1.0,-0.024922990754707497,0.01987253779233963
2021-01-11,rb1s,-1,0.0,low_vol,downside,calm_negative,0.9593129384436634,-0.01394021774964993,0.02123708179565063
2021-01-11,si1s,0,0.0,extreme_vol,downside,stress,0.999974228111704,0.026261315062129587,0.029976888458253064
2021-01-12,cl1s,0,2.0,low_vol,weak,calm_negative,0.8957198923286323,0.018373205580254792,0.017256001861003848
2021-01-12,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.999502176751876,0.0006592827002063206,0.0069893842984483975
2021-01-12,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9956328238613492,-0.0022172948995901054,0.010443970630681547
2021-01-12,gc1s,0,3.0,high_vol,strong_upside,upside_breakout,0.9923461499603876,-0.00356602550094387,0.013890818534024265
2021-01-12,hg1s,-1,2.0,normal_vol,weak,calm_negative,0.9545533782991092,0.01150231485889086,0.01217330276809233
2021-01-12,ho1s,0,1.0,low_vol,weak,calm_negative,0.9928798641938664,0.014744195592218956,0.014752238776041458
2021-01-12,ng1s,0,1.0,high_vol,downside,stress,0.9940675703396098,0.0021822834457358997,0.03260729156044859
2021-01-12,nq1s,1,3.0,low_vol,strong_upside,calm_positive,0.8624224019518255,-0.000523377529353386,0.00985119215151642
2021-01-12,pl1s,-1,0.0,extreme_vol,positive,upside_breakout,0.9999995175459188,0.022209458163526596,0.020370674099002267
2021-01-12,rb1s,-1,3.0,normal_vol,strong_upside,calm_positive,0.9971538682530604,0.021173065231160804,0.021161557971269514
2021-01-12,si1s,-1,3.0,high_vol,strong_upside,upside_breakout,0.657250757214048,0.005972155784471855,0.029976232424023818
2021-01-13,cl1s,0,2.0,low_vol,weak,calm_negative,0.5158609764226023,-0.005638038200060036,0.017459599262518433
2021-01-13,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.9996886505283008,0.0024377388314200665,0.00684876975529331
2021-01-13,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.9983212237487956,0.0016666666666698138,0.010406687255509068
2021-01-13,gc1s,0,3.0,high_vol,strong_upside,upside_breakout,0.919236704418067,0.005801973752635137,0.01386215080676618
2021-01-13,hg1s,-1,0.0,low_vol,positive,calm_positive,0.9885646742861864,0.003189571560418658,0.012175397973168803
2021-01-13,ho1s,0,1.0,low_vol,weak,calm_negative,0.9996697310227772,0.0013778459655640063,0.014686292883661311
2021-01-13,ng1s,0,1.0,high_vol,downside,stress,0.9953033133632316,-0.009443924090656974,0.03189141518312153
2021-01-13,nq1s,1,3.0,low_vol,strong_upside,calm_positive,0.994268415228325,0.006361397180571826,0.009831287987775647
2021-01-13,pl1s,-1,0.0,extreme_vol,positive,upside_breakout,1.0,0.04017606293084053,0.021955310848938703
2021-01-13,rb1s,-1,0.0,low_vol,downside,calm_negative,0.9963895629763104,-0.002704441421351733,0.021322921476314417
2021-01-13,si1s,-1,0.0,extreme_vol,downside,stress,0.9172495681615396,0.005386279572542341,0.029956104451991827
2021-01-14,cl1s,0,1.0,normal_vol,positive,calm_positive,1.0,0.012462236018591755,0.017439498250542956
2021-01-14,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.9996396069592935,-0.0032862306923241436,0.006465471934699949
